Fox_ID,Year,Julian_day,Distance_traveled,Prop_active
926022,2019,173,46437.4700512249,0.561075949367089
926022,2019,174,26004.1008760663,0.379559748427673
926022,2019,175,30925.0225795786,0.364984227129338
926022,2019,176,37144.9530242066,0.504444444444444
926022,2019,177,31688.089433033,0.38801261829653
926022,2019,178,30391.3779321189,0.378548895899054
926022,2019,179,27204.9979615392,0.330283911671924
926022,2019,180,24791.3778972742,0.327444794952681
926022,2019,181,28446.3111551181,0.393375394321767
926022,2019,182,31679.9950728084,0.342857142857143
926022,2019,183,22471.5583528772,0.35968253968254
926022,2019,184,30818.6375996213,0.446031746031746
926022,2019,185,35954.8327114734,0.525878594249201
926022,2019,186,35021.9023514569,0.47879746835443
926022,2019,187,31861.0683627078,0.453674121405751
926022,2019,188,39530.5885763162,0.504416403785489
926022,2019,189,31707.3949486264,0.453627760252366
926022,2019,190,22791.3383794553,0.310126582278481
926022,2019,191,44944.3119838181,0.668888888888889
926022,2019,192,38492.909795291,0.506940063091483
926022,2019,193,25194.7780546806,0.416719242902208
926022,2019,194,25239.4132083415,0.388387096774194
926022,2019,195,33470.1945489751,0.481072555205047
926026,2019,173,54793.5446925798,0.509493670886076
926026,2019,174,64428.5958981482,0.600315457413249
926026,2019,175,56064.9273234207,0.49211356466877
926026,2019,176,72542.5787044653,0.642767295597484
926026,2019,177,58958.5400507561,0.506309148264984
926026,2019,178,58247.0503189239,0.551735015772871
926026,2019,179,53949.9857149959,0.452365930599369
926026,2019,180,55538.2927411743,0.517981072555205
926026,2019,181,51793.7569138512,0.525239616613419
926026,2019,182,58264.6336517583,0.517405063291139
926026,2019,183,57707.6918598515,0.529968454258675
926026,2019,184,55436.5607543174,0.576340694006309
926026,2019,185,54191.8425682826,0.576656151419558
926026,2019,186,51983.9350192312,0.582594936708861
926026,2019,187,53049.492622381,0.559305993690852
926026,2019,188,57790.6811296456,0.613564668769716
926026,2019,189,66496.0744571811,0.666772151898734
926026,2019,190,48051.2193217429,0.533227848101266
926026,2019,191,50877.1094768435,0.531545741324921
926026,2019,192,60283.7386414093,0.579874213836478
926026,2019,193,59295.2455115757,0.62018927444795
926026,2019,194,62401.669118657,0.620820189274448
926026,2019,195,52554.3107499401,0.534700315457413
926020,2019,161,20848.8167476519,0.240514469453376
926020,2019,162,41057.1311740986,0.441479099678457
926020,2019,163,44616.1010159055,0.541194968553459
926020,2019,164,46666.4553868824,0.488216560509554
926020,2019,165,52682.9862592098,0.52984126984127
926020,2019,166,42807.8288432996,0.451419558359621
