Year,Farm,YearFarmNB,wing,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2012,1,2012_01_06,28.07,-2.174103432,SY,2.318029285,-1.419281665,-0.020376842,-0.571802352,1.174620933,1.699746906,0.838040612
2010,1,2010_01_06,39.69,0.906903009,ASY,-0.305002369,0.346514587,-0.414589121,-0.571802352,0.737557563,2.518344944,1.709280416
2008,1,2008_01_06,51.17,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.571802352,0.192891843,2.320150972,0.903748429
2008,1,2008_01_07,51.45,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.571420351,-0.221536261,2.320150972,0.903748429
2008,1,2008_01_07,51.58,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.571420351,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_07,47.81,0.906903009,ASY,2.152684375,-1.419281665,-0.414589121,-0.571420351,1.372662427,1.699746906,0.838040612
2016,1,2016_01_07,38.58,-0.028402518,ASY,-0.613866661,-1.169127196,0.176729297,-0.571420351,-0.906418703,2.454829477,2.231954541
2016,1,2016_01_07,37.92,-0.028402518,ASY,-0.613866661,-1.169127196,0.176729297,-0.571420351,-0.906418703,2.454829477,2.231954541
2008,1,2008_01_07,51.45,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.571420351,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_07,46.9,0.906903009,ASY,2.152684375,-1.419281665,-0.414589121,-0.571420351,1.372662427,1.699746906,0.838040612
2012,1,2012_01_07,46.66,0.906903009,ASY,2.152684375,-1.419281665,-0.414589121,-0.571420351,1.372662427,1.699746906,0.838040612
2016,1,2016_01_07,42.96,-0.028402518,ASY,-0.613866661,-1.169127196,0.176729297,-0.571420351,-0.906418703,2.454829477,2.231954541
2008,1,2008_01_07,49.6,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.571420351,-0.221536261,2.320150972,0.903748429
2016,1,2016_01_07,35.51,-0.028402518,ASY,-0.613866661,-1.169127196,0.176729297,-0.571420351,-0.906418703,2.454829477,2.231954541
2008,1,2008_01_07,49.14,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.571420351,-0.221536261,2.320150972,0.903748429
2008,1,2008_01_07,48.54,0.906903009,ASY,0.508494588,-0.448093727,-0.8088014,-0.571420351,-0.221536261,2.320150972,0.903748429
2012,1,2012_01_07,45.74,0.906903009,ASY,2.152684375,-1.419281665,-0.414589121,-0.571420351,1.372662427,1.699746906,0.838040612
2012,1,2012_01_07,48.88,0.906903009,ASY,2.152684375,-1.419281665,-0.414589121,-0.571420351,1.372662427,1.699746906,0.838040612
2014,1,2014_01_07,44.45,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.571420351,0.753597991,1.890410036,1.171511361
2014,1,2014_01_07,48.53,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.571420351,0.753597991,1.890410036,1.171511361
2014,1,2014_01_07,38.94,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.571420351,0.753597991,1.890410036,1.171511361
2016,1,2016_01_07,42.83,-0.028402518,ASY,-0.613866661,-1.169127196,0.176729297,-0.571420351,-0.906418703,2.454829477,2.231954541
