id_chipmunk;laboratory;date_analysis;date_hairsample;site;sex;age;year;year_mast;season;body_mass;d15N;d13C;d15N_corrected;d13C_corrected;mean_Blup_exploration;type_explo
J006;GEOTOP;2017;03/06/2015;2;F;2;2015;Mast;spring;86 33;5 81;-23 82;5 24;-23 44;9 55;fast
I009;GEOTOP;2017;06/06/2015;2;F;3;2015;Mast;spring;88 13;2 97;-23 32;2 4;-22 94;-15 48;slow
I009;GEOTOP;2017;27/05/2016;2;F;4;2016;Non-Mast;spring;88;2 94;-22 69;2 37;-22 31;-15 48;slow
J010;GEOTOP;2017;07/06/2015;1;F;2;2015;Mast;spring;88;2 64;-23 11;2 07;-22 73;16 38;fast
K024;GEOTOP;2017;01/06/2016;1;F;1;2016;Non-Mast;spring;77;2 52;-22 59;1 95;-22 21;0 74;slow
J010;GEOTOP;2017;01/06/2016;1;F;3;2016;Non-Mast;spring;87 25;3 34;-23 45;2 77;-23 07;16 38;fast
L011;GEOTOP;2017;01/06/2016;1;M;1;2016;Non-Mast;spring;83 38;2 2;-22 99;1 63;-22 61;13 66;inter
I075;GEOTOP;2017;17/08/2015;2;F;2;2015;Mast;summer;89;6 3;-23 72;5 73;-23 34;-3 12;inter
J069;GEOTOP;2017;17/08/2015;2;F;1;2015;Mast;summer;85;5 71;-24 12;5 14;-23 74;6 47;fast
I009;GEOTOP;2017;17/08/2015;2;F;3;2015;Mast;summer;93;2 88;-23 28;2 31;-22 9;-15 48;slow
J064;GEOTOP;2017;17/08/2015;2;M;2;2015;Mast;summer;96;4 57;-22 61;4;-22 23;1 96;inter
J032;GEOTOP;2017;18/08/2015;2;M;2;2015;Mast;summer;94 5;n/a;n/a;n/a;n/a;11 79;fast
J008;GEOTOP;2017;18/08/2015;2;F;2;2015;Mast;summer;84 5;1 74;-22 79;1 17;-22 41;5 49;fast
I016;GEOTOP;2017;19/08/2015;2;M;3;2015;Mast;summer;91;6 42;-23 21;5 85;-22 83;1 53;inter
J048;GEOTOP;2017;20/08/2015;1;M;2;2015;Mast;summer;82;4 52;-23 36;3 95;-22 98;-3 27;slow
J019;GEOTOP;2017;20/08/2015;1;F;2;2015;Mast;summer;93 33;5 56;-23 9;4 99;-23 52;20 79;fast
J010;GEOTOP;2017;20/08/2015;1;F;2;2015;Mast;summer;86;4 89;-23 03;4 32;-22 65;16 38;fast
J054;GEOTOP;2017;20/08/2015;1;F;2;2015;Mast;summer;91;3 93;-23 69;3 36;-23 31;7 06;inter
J080;GEOTOP;2017;20/08/2015;1;F;2;2015;Mast;summer;107;2 16;-21 59;1 59;-21 21;-13 27;slow
J028;GEOTOP;2017;20/08/2015;1;M;2;2015;Mast;summer;88;4 25;-22 46;3 68;-22 08;-15 47;slow
J020;GEOTOP;2017;20/08/2015;1;M;2;2015;Mast;summer;96;7 35;-23 19;6 78;-22 81;11 04;inter
J007;GEOTOP;2017;20/08/2015;1;F;2;2015;Mast;summer;82;6 71;-23 81;6 14;-23 43;21 68;fast
L082;GEOTOP;2017;10/06/2016;1;M;n/a;2016;Non-Mast;spring;69 57;1 83;-22 69;1 26;-22 31;-11 17;slow
J004;GEOTOP;2017;22/08/2015;1;F;2;2015;Mast;summer;88 5;1 15;-22 63;0 58;-22 25;10 87;inter
J017;GEOTOP;2017;22/08/2015;1;F;1;2015;Mast;summer;80 67;5 63;-23 84;5 06;-23 46;24 33;fast
I053;GEOTOP;2017;22/08/2015;1;M;3;2015;Mast;summer;95;2 35;-21 74;1 78;-21 36;-9 96;slow
J026;GEOTOP;2017;22/08/2015;1;F;2;2015;Mast;summer;93 5;1 78;-21 61;1 21;-21 23;0 31;inter
J057;GEOTOP;2017;22/08/2015;1;F;2;2015;Mast;summer;84;2 53;-22 16;1 96;-21 78;-27 73;slow
H005;GEOTOP;2017;22/08/2015;1;M;4;2015;Mast;summer;92 5;3 46;-23 56;2 89;-23 18;-6 91;slow
H068;GEOTOP;2017;23/08/2015;3;F;4;2015;Mast;summer;83;1 53;-23 95;0 96;-23 57;-3 29;slow
H058;GEOTOP;2017;23/08/2015;3;F;3;2015;Mast;summer;91;1 11;-22 23;0 54;-21 85;-0 28;inter
H072;GEOTOP;2017;23/08/2015;3;F;4;2015;Mast;summer;90 5;2 77;-23 52;2 2;-23 14;-7 21;inter
J136;GEOTOP;2017;23/08/2015;3;F;2;2015;Mast;summer;87;2 99;-23 61;2 42;-23 23;-12 38;slow
J043;GEOTOP;2017;26/08/2015;1;F;2;2015;Mast;summer;95;3 39;-22 45;2 82;-22 07;15 34;fast
J047;GEOTOP;2017;26/08/2015;1;F;2;2015;Mast;summer;87 5;3 1;-23 41;2 53;-23 03;7 34;inter
L091;GEOTOP;2017;14/06/2016;2;M;0;2016;Non-Mast;spring;76;2 93;-23 11;2 36;-22 73;13 69;fast
J006;GEOTOP;2017;31/08/2015;2;F;2;2015;Mast;summer;75;n/a;n/a;n/a;n/a;9 55;fast
L092;GEOTOP;2017;14/06/2016;2;F;1;2016;Non-Mast;spring;78 67;2 73;-23 36;2 16;-22 98;13 03;fast
J006;GEOTOP;2017;14/06/2016;2;F;3;2016;Non-Mast;spring;86;3 23;-23 23;2 66;-22 85;9 55;fast
J014;GEOTOP;2017;05/09/2015;2;M;2;2015;Mast;summer;n/a;2 72;-22 29;2 15;-21 91;-16 03;slow
J007;GEOTOP;2017;16/06/2016;1;F;3;2016;Non-Mast;spring;85 33;3 56;-23 17;2 99;-22 79;21 68;fast
L098;GEOTOP;2017;22/08/2016;2;F;0;2016;Non-Mast;summer;85;3 06;-23 81;2 49;-23 43;4 58;fast
L102;GEOTOP;2017;22/08/2016;2;F;1;2016;Non-Mast;summer;77 6;3 99;-23 49;3 42;-23 11;-11 03;slow
L118;GEOTOP;2017;22/08/2016;2;M;0;2016;Non-Mast;summer;81 17;3 34;-23 94;2 77;-23 56;9 31;fast
L119;GEOTOP;2017;22/08/2016;2;M;0;2016;Non-Mast;summer;75 2;4 49;-23 73;3 92;-23 35;-11 17;slow
L037;GEOTOP;2017;22/08/2016;2;M;1;2016;Non-Mast;summer;87;4 57;-24 36;4;-23 98;6 48;fast
L094;GEOTOP;2017;22/08/2016;2;M;n/a;2016;Non-Mast;summer;84;3 64;-24 37;3 07;-23 99;2 79;fast
L053;GEOTOP;2017;22/08/2016;2;F;0;2016;Non-Mast;summer;83 2;3 82;-24 71;3 25;-24 33;9 14;inter
L059;GEOTOP;2017;23/08/2016;1;F;0;2016;Non-Mast;summer;84 6;4 32;-24 08;3 75;-23 7;1 52;inter
L082;GEOTOP;2017;23/08/2016;1;M;n/a;2016;Non-Mast;summer;90 17;2 32;-23 64;1 75;-23 26;-11 17;slow
L011;GEOTOP;2017;23/08/2016;1;M;1;2016;Non-Mast;summer;89 4;2 57;-24 5;2;-24 12;13 66;inter
L061;GEOTOP;2017;23/08/2016;1;M;1;2016;Non-Mast;summer;89 67;3 12;-23 29;2 55;-22 91;-10 28;slow
L107;GEOTOP;2017;23/08/2016;1;F;0;2016;Non-Mast;summer;79 25;5 88;-23 77;5 31;-23 39;-8 69;slow
L084;GEOTOP;2017;23/08/2016;1;F;0;2016;Non-Mast;summer;73 67;2 8;-24 09;2 23;-23 71;-2 74;slow
L112;GEOTOP;2017;23/08/2016;1;F;n/a;2016;Non-Mast;summer;88;3 85;-24 66;3 28;-24 28;-2 53;slow
L086;GEOTOP;2017;23/08/2016;1;M;n/a;2016;Non-Mast;summer;85 5;3 85;-23 36;3 28;-22 98;10 09;fast
L083;GEOTOP;2017;23/08/2016;1;F;0;2016;Non-Mast;summer;82;3 48;-23 92;2 91;-23 54;-21 25;slow
L081;GEOTOP;2017;23/08/2016;1;F;n/a;2016;Non-Mast;summer;85 5;3 62;-24 37;3 05;-23 99;-2 03;slow
L115;GEOTOP;2017;23/08/2016;1;F;0;2016;Non-Mast;summer;78;2 39;-23 98;1 82;-23 6;-5 37;slow
L129;GEOTOP;2017;24/08/2016;3;M;0;2016;Non-Mast;summer;76 25;3 42;-23 15;2 85;-22 77;-10 28;slow
L092;GEOTOP;2017;25/08/2016;2;F;1;2016;Non-Mast;summer;73;4 88;-24 03;4 31;-23 65;13 03;fast
L131;GEOTOP;2017;27/08/2016;3;M;0;2016;Non-Mast;summer;81 67;2 57;-23 97;2;-23 59;-6 68;slow
