Year,Farm,YearFarmNB,masse16,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2008,1,2008_01_06,22.85,0.90005954,ASY,0.108574216,-0.688780187,0.368465657,-0.57414457,0.188625084,2.320150972,0.903748429
2016,1,2016_01_06,23.58,-1.134202707,ASY,1.196572981,-1.208652009,2.141604208,-0.57414457,-1.037425795,2.454829477,2.231954541
2008,1,2008_01_06,20.32,0.90005954,ASY,0.108574216,-0.688780187,0.368465657,-0.57414457,0.188625084,2.320150972,0.903748429
2011,1,2011_01_06,20.93,0.90005954,ASY,0.254123688,-0.807608032,0.565481052,-0.57414457,-0.202851571,2.551714255,1.693722891
2010,1,2010_01_06,21.52,0.90005954,ASY,-0.306999161,0.365816937,-0.419595921,-0.57414457,0.734700879,2.518344944,1.709280416
2012,1,2012_01_06,21.42,-2.178823861,SY,2.304988187,-1.416600738,-0.025565132,-0.57414457,1.172895754,1.699746906,0.838040612
2010,1,2010_01_06,20.55,0.90005954,ASY,-0.306999161,0.365816937,-0.419595921,-0.57414457,0.734700879,2.518344944,1.709280416
2011,1,2011_01_06,20.73,0.90005954,ASY,0.254123688,-0.807608032,0.565481052,-0.57414457,-0.202851571,2.551714255,1.693722891
2012,1,2012_01_07,22.52,0.90005954,ASY,2.140339464,-1.416600738,-0.419595921,-0.573764206,1.371449953,1.699746906,0.838040612
2016,1,2016_01_07,19.03,-0.034601492,ASY,-0.614562977,-1.164091567,0.171450263,-0.573764206,-0.913531446,2.454829477,2.231954541
2012,1,2012_01_07,23.03,0.90005954,ASY,2.140339464,-1.416600738,-0.419595921,-0.573764206,1.371449953,1.699746906,0.838040612
2012,1,2012_01_07,22.57,0.90005954,ASY,2.140339464,-1.416600738,-0.419595921,-0.573764206,1.371449953,1.699746906,0.838040612
2008,1,2008_01_07,23.19,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.573764206,-0.226875926,2.320150972,0.903748429
2008,1,2008_01_07,19.59,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.573764206,-0.226875926,2.320150972,0.903748429
2008,1,2008_01_07,21.87,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.573764206,-0.226875926,2.320150972,0.903748429
