Year,Farm,FarmNB,dur,HD,AG,NN,MAX,RN,WT,FDM,Comp.1,Comp.2
2015,31,31_02,19.5,1.059809187,SY,0.09791151,0.222010931,-0.782604358,2.830552401,0.473982132,1.886531271,-0.904269793
2010,31,31_02,18.5,-0.662349998,ASY,0.09791151,0.21333774,0.147619182,2.830552401,0.050783453,2.127169103,-0.23278193
2009,31,31_03,19.5,1.442511228,SY,0.09791151,0.079236858,0.554591981,2.797108737,2.164550245,1.721453983,-1.211280075
2008,31,31_03,19.5,-0.088296936,ASY,0.916999195,0.302071159,-0.63725693,2.797108737,-0.56717646,1.987180767,-1.191339241
2016,31,31_04,19.5,0.485756125,ASY,0.09791151,0.922537926,-1.654688927,2.762595339,0.167826589,2.066043237,-0.528422798
2007,31,31_04,19.5,1.059809187,SY,0.916999195,0.887177992,-0.73900013,2.762595339,-0.276686912,2.123839821,-0.237418725
2009,31,31_04,17.5,0.294405105,ASY,-0.721176175,0.242693157,-0.17214516,2.762595339,2.179263304,1.721453983,-1.211280075
2015,31,31_04,19.5,-0.853701018,ASY,0.916999195,-0.545232921,0.205758154,2.762595339,0.371546999,1.886531271,-0.904269793
2014,31,31_04,21.5,0.485756125,SY,0.09791151,0.451516918,3.345262603,2.762595339,-0.128555719,2.039116028,-0.94564983
2008,31,31_04,18.5,0.294405105,ASY,-0.721176175,0.101920589,-0.63725693,2.762595339,-0.609985402,1.987180767,-1.191339241
2016,31,31_05,21.5,0.103054084,SY,0.09791151,0.121935646,-1.596549956,2.718528166,-0.003080812,2.066043237,-0.528422798
2011,31,31_05,19.5,1.825213269,SY,0.916999195,0.662342185,-0.259353617,2.718528166,0.085323742,1.991400617,-1.071001457
2007,31,31_05,19.5,0.677107146,ASY,0.09791151,1.631070944,-0.768069615,2.718528166,-0.290740288,2.123839821,-0.237418725
2014,31,31_05,18.5,0.103054084,ASY,0.916999195,0.053884452,3.345262603,2.718528166,-0.118510441,2.039116028,-0.94564983
2006,31,31_05,19.5,-0.470998977,ASY,-0.721176175,0.195324189,0.130177491,2.718528166,-0.113918938,2.164145514,-0.829996217
2012,31,31_05,18.5,-0.279647957,ASY,0.09791151,2.162137123,-1.494806756,2.718528166,0.483401248,2.310135868,-0.776820183
