idanimal	herd	year	dwin	ewin	x	y	cluster
96041206	2	2001	36858	36923	-449545.8717	1275137.869	1
96041206	2	2001	36963	37013	-240271.7408	1812024.171	2
96041206	2	2002	37227	37302	-245270.2573	988092.2155	1
96041206	2	2002	37357	37382	-345022.5047	1865755.822	2
96041206	2	2003	37592	37742	-330506.0743	1020990.231	1
96101102	1	1997	35427	35572	338709.6879	1298307.572	1
96101102	1	1998	35772	35912	406746.9007	1195822.2	1
96101102	1	1999	36125	36280	-275197.593	1223203.206	2
96101102	1	2000	36495	36610	23875.77298	1001564.72	3
96101103	1	1997	35415	35525	51928.93974	1454312.397	3
97041201	2	1998	35752	35832	-363691.8927	1265832.648	1
97041201	2	1998	35872	35922	-397748.4316	1677890.271	2
97041201	2	1999	36112	36217	-403195.0564	1261382.996	1
97041201	2	1999	36227	36277	-380002.3681	1642231.442	2
97041201	2	2001	36832	36957	-354229.0017	1170813.58	1
97041202	2	1998	35747	35837	-415118.5963	1281161.02	1
97041202	2	1998	35892	35922	-401239.4662	1852670.337	2
97041202	2	1999	36117	36212	-357357.6548	1241283	1
97041202	2	1999	36227	36277	-364290.3014	1616530.819	2
97061106	1	1998	35785	35905	9909.97018	1032001.286	3
97061106	1	1999	36120	36265	584378.5115	1158654.196	1
97061202	2	1998	35697	35897	-467725.0071	2014949.402	2
97061202	2	1999	36122	36187	-415067.3177	1275437.055	1
97061202	2	1999	36217	36302	-394776.436	1789282.771	2
97061202	2	2000	36512	36652	-294913.7566	1169817.705	1
97061202	2	2001	36857	36953	-288051.9478	1243479.566	1
97061202	2	2001	36972	37012	-325687.0712	1655247.373	2
97071101	1	1998	35770	35890	368695.6463	1246782.421	1
97071102	1	1998	35760	35845	-374967.2256	1251306.496	2
97071102	2	1999	36210	36285	-370053.974	1742354.594	2
97071102	1	2000	36529	36661	419531.4629	1310164.857	1
97071102	1	2001	36875	37006	-64155.57911	1384854.24	3
97071102	1	2002	37235	37394	-277879.7588	1120163.625	2
97071102	1	2003	37585	37750	-209327.5918	1084170.577	2
97071103	1	1998	35790	35905	412233.2687	1293645.888	1
97071103	1	1999	36130	36285	409379.6421	1371022.535	1
97101210	2	1998	35752	35827	-300996.8836	1192665.008	1
97101210	2	1998	35872	35897	-380275.6383	1591200.644	2
98061103	1	1999	36135	36265	366326.871	1326661.981	1
