ind	idanimal	herd	year	cluster	st_sep	st_oct	swe_sep	swe_oct	pcp_sep	pcp_oct	ndvi_jul	ndvi_aug	ndvi_sep	ndvi_oct
186	2005013	2	2006	SW	5.27137982	-1.567272434	0.010558423	10.9030707	1.525784832	3.075285252	0.243729807	0.330270308	0.322381088	0.124247241
187	2005014	2	2005	SW	5.411748927	0.57107539	0.160861718	6.28201441	3.572711621	1.859010456	0.201920894	0.347854359	0.280078682	0.218445013
187	2005014	2	2006	SW	4.524252462	-2.12940756	0.170530025	14.41317565	1.645758022	3.077642564	0.31930116	0.320457182	0.281117244	0.125981401
187	2005014	2	2007	SW	0.96443457	-2.513019328	8.381990392	8.432801775	4.16323183	1.80873112	0.24468561	0.28756943	0.202267695	0.176608766
187	2005014	2	2008	SW	4.81151726	-1.446069836	0.800722589	13.54180578	3.290143774	3.430313383	0.204249076	0.316014906	0.324845303	0.125382765
187	2005014	2	2009	SW	4.281670158	-4.849840172	0.505679296	15.61419526	2.375616462	2.158164907	0.190788185	0.298332266	0.210830906	0.072766522
187	2005014	2	2010	SW	4.518163901	-1.379474869	0.137084074	9.908109391	2.265929859	1.930970752	0.237985434	0.352600259	0.183097899	0.071960893
188	2005016	2	2005	SHIFT	4.546085978	0.042913567	0.328326865	2.169825956	2.451934087	1.158456739	0.238059609	0.203983113	0.258734406	0.164031728
188	2005016	2	2006	SW	4.145080963	-1.100436491	0.277346798	9.981401134	1.38305594	2.995950966	0.216585969	0.337884834	0.275276142	0.24222289
188	2005016	2	2007	SW	0.645153101	-2.527066668	7.399439742	6.646703081	3.435518416	1.742896771	0.267906097	0.351201259	0.198250559	0.212473136
188	2005016	2	2008	SW	4.674513252	-0.751095004	0.904167072	9.676981642	3.282258899	3.462552823	0.312638091	0.361121703	0.207894336	0.110244118
189	2005017	2	2005	SW	5.697145347	NA	0.02229389	NA	2.796251174	NA	0.200647634	0.359212184	0.228466349	NA
189	2005017	2	2006	SW	4.198913171	-2.326992359	0.25038818	14.53558458	1.489959647	3.047835954	0.284018969	0.410346026	0.102210123	0.101551828
189	2005017	2	2007	SW	1.733352102	-1.80784354	5.076226404	5.859601791	5.052758853	1.920826095	0.278401152	0.31978571	0.313661373	0.187977163
189	2005017	2	2008	SW	3.27750056	-2.267956154	1.730658808	17.71454487	2.617930437	3.259362591	0.266465301	0.323227406	0.204721676	0.141667861
189	2005017	2	2009	SW	4.15286159	-4.445198929	0.486161298	14.30615725	2.488494036	2.351882841	0.222209539	0.297499498	0.228490172	0.085624561
189	2005017	2	2010	SW	5.532341099	-1.005611596	0.059197943	8.454397574	3.278172454	1.775575557	0.297783849	0.297059054	0.223977718	0.087600724
191	2005019	2	2006	SW	3.942773372	-1.635868908	0.220640783	11.8638173	1.455991683	3.045487554	0.221811906	0.344957264	0.346111841	0.178852904
191	2005019	2	2007	SW	1.442911333	-1.781347229	7.072338247	8.13106845	5.083380027	1.887619066	0.311147797	0.359382714	0.22478815	0.207092371
191	2005019	2	2008	SW	3.629704546	-1.392150785	1.441777639	13.02559235	2.64808354	3.384398019	0.29395928	0.271882386	0.206005318	0.17160172
